business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
fN1xl3d8EdFRpyE1NVI2nw,Feet First Team Building,,Philadelphia,PA,19147,39.9350642,-75.1516194,5.0,6,1,,"Scavenger Hunts, Active Life, Team Building Activities, Event Planning & Services","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0'}"
tFh0DrDMTom4B3pHpDpRNQ,Platoon Fitness,716 Walnut St,Philadelphia,PA,19106,39.9478525,-75.1535819,5.0,10,1,"{'BikeParking': 'True', 'ByAppointmentOnly': 'True', 'AcceptsInsurance': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True'}","Boot Camps, Weight Loss Centers, Health & Medical, Gyms, Trainers, Fitness & Instruction, Active Life, Martial Arts, Massage Therapy, Nutritionists","{'Monday': '4:0-22:0', 'Tuesday': '4:0-22:0', 'Wednesday': '4:0-22:0', 'Thursday': '4:0-22:0', 'Friday': '4:0-22:0', 'Saturday': '4:0-22:0', 'Sunday': '4:0-22:0'}"
s_NhHDVXGyZ1mjTu4D9fXA,Chestnut Hill Escape Room,8217 Germantown Ave,Philadelphia,PA,19118,40.073763,-75.202796,5.0,9,0,,"Escape Games, Active Life","{'Friday': '16:0-21:30', 'Saturday': '10:0-22:0', 'Sunday': '11:0-20:0'}"
FSR2ErBcsgsRpAWtU-xxYg,Club28 Badminton Philadelphia,3559 Edgemont St,Philadelphia,PA,19134,39.988373,-75.094483,5.0,6,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True'}","Sporting Goods, Shopping, Badminton, Active Life","{'Monday': '10:0-23:0', 'Tuesday': '17:0-23:0', 'Wednesday': '17:0-23:0', 'Thursday': '17:0-23:0', 'Friday': '16:0-23:0', 'Saturday': '16:0-23:0', 'Sunday': '10:0-23:0'}"
Z-jOXWIaHaP1KG0cLXTkLA,Atlantic Physical Therapy,"1208 Tasker St, Fl 2",Philadelphia,PA,19148,39.9298675,-75.1650721,5.0,24,1,"{'ByAppointmentOnly': 'True', 'AcceptsInsurance': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'WiFi': ""u'free'""}","Fitness & Instruction, Physical Therapy, Sports Medicine, Doctors, Health & Medical, Active Life, Chiropractors, Orthopedists, Yoga","{'Monday': '0:0-0:0', 'Tuesday': '7:0-16:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-15:0'}"
8ZcVHh6cFEd1Nhqgqp11Hw,Relentless Fitness,249 S 10th St,Philadelphia,PA,19147,39.9468869,-75.157476,5.0,6,0,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True'}","Gyms, Health & Medical, Active Life, Fitness & Instruction, Beauty & Spas, Trainers",
qNdDhnauAdhkWyZJHVqUNQ,Meagan Q Macklin,2016 Walnut St,Philadelphia,PA,19102,39.9521221119,-75.1681137085,5.0,20,1,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True', 'AcceptsInsurance': 'False', 'WheelchairAccessible': 'False', 'BusinessAcceptsBitcoin': 'False', 'GoodForKids': 'True', 'WiFi': ""u'no'""}","Beauty & Spas, Active Life, Health & Medical, Physical Therapy, Massage","{'Monday': '17:0-20:0', 'Tuesday': '17:0-20:0', 'Wednesday': '17:0-20:0', 'Thursday': '17:0-20:0', 'Friday': '8:0-13:0'}"
Ac6NdLwXzX9EWqqWxx94ZQ,The Jiu Jitsu Company,"31 S 2nd St, Fl 2",Philadelphia,PA,19106,39.949049,-75.143627,5.0,6,1,"{'WheelchairAccessible': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'False', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': True, u'lot': False, u'validated': False}""}","Brazilian Jiu-jitsu, Active Life, Kids Activities, Sports Clubs, Martial Arts, Fitness & Instruction","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '12:0-15:0'}"
jvCNijeK9ZOf2Vb6pGNySg,Bury The Hatchet,"1719 Washington Ave, Fl 2",Philadelphia,PA,19146,39.93883,-75.17232,5.0,153,1,"{'WheelchairAccessible': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'False', 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Local Flavor, Recreation Centers, Amateur Sports Teams, Active Life","{'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-21:0'}"
rytqWB6v6AAAxZiqy7Flww,War Horse Barbell,801-5 N 2nd St,Philadelphia,PA,19123,39.9630208,-75.1406717,5.0,23,1,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'False', 'ByAppointmentOnly': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WheelchairAccessible': 'True'}","Gyms, Fitness & Instruction, Active Life","{'Monday': '5:0-21:0', 'Tuesday': '5:0-21:0', 'Wednesday': '5:0-21:0', 'Thursday': '5:0-21:0', 'Friday': '5:0-21:0', 'Saturday': '8:0-14:0'}"
CMLS5r0rOAWqlnu5lnC0TA,Revolution Fitness Factory,"1516 N 5th St, Unit 104",Philadelphia,PA,19122,39.974968,-75.144123,5.0,9,1,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'ByAppointmentOnly': 'False', 'WheelchairAccessible': 'True'}","Boot Camps, Yoga, Fitness & Instruction, Active Life, Trainers, Gyms, Dance Studios","{'Monday': '17:0-20:0', 'Tuesday': '17:0-20:0', 'Wednesday': '17:0-20:0', 'Thursday': '17:0-20:0', 'Friday': '17:0-18:30', 'Saturday': '8:0-12:0', 'Sunday': '9:0-13:0'}"
cDPHu4gct96U0BHIdL4wiA,Philadelphia Photo Arts Center,"1400 N American St, Ste 103",Philadelphia,PA,19122,39.973259,-75.140398,5.0,7,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Local Services, Specialty Schools, Education, Shopping, Photography Classes, Special Education, Summer Camps, Community Service/Non-Profit, Art Galleries, Active Life, Arts & Entertainment, Printing Services","{'Monday': '0:0-0:0', 'Wednesday': '12:0-18:0', 'Thursday': '12:0-18:0', 'Friday': '12:0-17:0', 'Saturday': '12:0-17:0'}"
7ATYjTIgM3jUlt4UM3IypQ,Body Cycle Spinning Studio,"1923 Chestnut St, 2nd Fl",Philadelphia,PA,19119,39.9521029,-75.1727526,5.0,144,0,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'False', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Active Life, Cycling Classes, Trainers, Gyms, Fitness & Instruction","{'Monday': '6:30-20:30', 'Tuesday': '6:30-20:30', 'Wednesday': '6:0-20:30', 'Thursday': '6:30-20:30', 'Friday': '6:0-19:30', 'Saturday': '7:30-12:30', 'Sunday': '9:0-13:0'}"
YCxJQTkH6BPbYlWc1YDRdA,Lithe Method,"1030 N 2nd St, Ste 401-501",Philadelphia,PA,19123,39.9671396,-75.1401769,5.0,9,0,{'GoodForKids': 'False'},"Active Life, Pilates, Gyms, Fitness & Instruction, Yoga","{'Monday': '17:30-20:0', 'Tuesday': '17:30-20:0', 'Wednesday': '17:30-20:0', 'Thursday': '17:30-20:0', 'Saturday': '8:30-11:0'}"
1jb7qNrb7y24jRWy9Mrs3w,Callowhill Archery,446 N 12th St,Philadelphia,PA,19123,39.9605699766,-75.1581898704,5.0,11,1,"{'WheelchairAccessible': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True'}","Active Life, Party & Event Planning, Archery, Team Building Activities, Event Planning & Services","{'Wednesday': '13:0-21:0', 'Thursday': '13:0-21:0', 'Friday': '13:0-21:0', 'Saturday': '13:0-21:0', 'Sunday': '13:0-21:0'}"
gFbp8YOYDSs6zwl01f72Fg,Kadampa Meditation Center Philadelphia,1102 Pine St,Philadelphia,PA,19107,39.9447974727,-75.1600315894,5.0,10,1,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'False'}","Community Service/Non-Profit, Buddhist Temples, Active Life, Fitness & Instruction, Health & Medical, Counseling & Mental Health, Meditation Centers, Religious Organizations, Local Services","{'Monday': '0:0-0:0', 'Wednesday': '16:30-17:30', 'Thursday': '18:30-20:30', 'Friday': '8:0-8:30', 'Sunday': '10:30-12:0'}"
W8F9TbZcojXvaev0lSKQRA,Mindful Elephant Yoga,2001 Hamilton St,Philadelphia,PA,19130,39.9629314,-75.1724804,5.0,39,0,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'GoodForKids': 'False', 'BikeParking': 'True', 'WheelchairAccessible': 'False', 'DogsAllowed': 'True', 'BusinessAcceptsCreditCards': 'True'}","Active Life, Yoga, Fitness & Instruction","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '8:30-10:30', 'Sunday': '0:0-0:0'}"
HV5W4i7iXWjLPxAvxPUHrg,The Bar Method Rittenhouse,"255 S 17th St, Fl2",Philadelphia,PA,19103,39.9481867,-75.1692901,5.0,9,0,"{'BikeParking': 'False', 'DogsAllowed': 'False', 'BusinessParking': 'None', 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True'}","Fitness & Instruction, Barre Classes, Active Life","{'Monday': '7:0-20:0', 'Tuesday': '6:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '6:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '8:30-11:0', 'Sunday': '9:30-12:0'}"
