business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
cDekcTE1qwpz8ROlYixhqg,Philly Homebrew Outlet East,1447 N American St,Philadelphia,PA,19122,39.9736806,-75.1396479,5.0,32,0,"{'RestaurantsPriceRange2': '2', 'GoodForKids': 'False', 'BikeParking': 'True', 'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Shopping, Food, Arts & Entertainment, Wholesale Stores, Brewing Supplies, Beer, Wine & Spirits, Wineries","{'Monday': '11:0-19:0', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-17:0'}"
cDPHu4gct96U0BHIdL4wiA,Philadelphia Photo Arts Center,"1400 N American St, Ste 103",Philadelphia,PA,19122,39.973259,-75.140398,5.0,7,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Local Services, Specialty Schools, Education, Shopping, Photography Classes, Special Education, Summer Camps, Community Service/Non-Profit, Art Galleries, Active Life, Arts & Entertainment, Printing Services","{'Monday': '0:0-0:0', 'Wednesday': '12:0-18:0', 'Thursday': '12:0-18:0', 'Friday': '12:0-17:0', 'Saturday': '12:0-17:0'}"
QISg9_me-kDqfneokdNM6Q,Bahdeebahdu,1522 N American St,Philadelphia,PA,19122,39.9744644,-75.1402408,5.0,5,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True'}","Venues & Event Spaces, Home Decor, Lighting Fixtures & Equipment, Event Planning & Services, Art Galleries, Home & Garden, Home Services, Interior Design, Arts & Entertainment, Shopping","{'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '11:0-16:0'}"
uv0dQlemI8GNm1SvBxwhFQ,Burkett Photography,,Philadelphia,PA,19118,40.0703334,-75.2070644,5.0,8,1,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Session Photography, Arts & Entertainment, Event Photography, Beauty & Spas, Professional Services, Event Planning & Services, Photographers","{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}"
W-sA8QCwkbkHnFJG1D5IGw,The American Swedish Historical Museum,1900 Pattison Ave,Philadelphia,PA,19145,39.9059506526,-75.1810532598,5.0,11,1,"{'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Art Galleries, Shopping, Museums, Arts & Entertainment","{'Tuesday': '10:0-16:0', 'Wednesday': '10:0-16:0', 'Thursday': '10:0-16:0', 'Friday': '10:0-16:0', 'Saturday': '12:0-16:0'}"
cX-g1iOlexkMU-jKINKTKQ,Inis Nua Theatre Company at The Drake,302 S Hicks St,Philadelphia,PA,19102,39.9468698,-75.1671697,5.0,10,1,{'GoodForKids': 'False'},"Performing Arts, Arts & Entertainment","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0'}"
pUGkaV3_aLBoFDL1AeuXDw,Painting with a Twist,8500 Henry Ave,Philadelphia,PA,19128,40.0636072565,-75.236522155,5.0,6,1,{'GoodForKids': 'True'},"Arts & Entertainment, Art Classes, Education, Paint & Sip",
TQw_QdeGmMwETEflebKB-g,Frame Works Studio & Gallery,2103 Walnut St,Philadelphia,PA,19103,39.9509604,-75.1760483,5.0,13,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'ByAppointmentOnly': 'False'}","Arts & Crafts, Framing, Arts & Entertainment, Shopping, Art Galleries","{'Monday': '11:0-17:30', 'Tuesday': '11:0-17:30', 'Wednesday': '11:0-17:30', 'Thursday': '11:0-17:30', 'Friday': '11:0-17:30', 'Saturday': '11:0-18:0'}"
W0JuHwr5zctnvQhi41QA1Q,Wendy's Frame Shop,1604 S Broad St,Philadelphia,PA,19145,39.9303347,-75.1687315,5.0,5,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}","Arts & Crafts, Shopping, Art Galleries, Framing, Arts & Entertainment","{'Monday': '10:0-17:30', 'Tuesday': '10:0-17:30', 'Wednesday': '10:0-17:30', 'Thursday': '10:0-17:30', 'Friday': '10:0-17:30', 'Saturday': '10:0-17:30'}"
UNUQV-91oCy_NFfeb5CeSg,Jason Douglass' Danceadelphia,1100 Snyder Ave,Philadelphia,PA,19148,39.9235160142,-75.1646166115,5.0,5,1,{'GoodForKids': 'True'},"Arts & Entertainment, Performing Arts",
