,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
0,cDekcTE1qwpz8ROlYixhqg,Philly Homebrew Outlet East,1447 N American St,Philadelphia,PA,19122,39.9736806,-75.1396479,5.0,32,0,"{'RestaurantsPriceRange2': '2', 'GoodForKids': 'False', 'BikeParking': 'True', 'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Shopping, Food, Arts & Entertainment, Wholesale Stores, Brewing Supplies, Beer, Wine & Spirits, Wineries","{'Monday': '11:0-19:0', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-17:0'}"
1,Bb3F76xkJrA-IwXLNK52RQ,Alchemy Coffee,119 S 21st St,Philadelphia,PA,19103,39.9511237,-75.1755163,5.0,19,1,"{'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{u'valet': False, u'garage': None, u'street': None, u'lot': False, u'validated': None}"", 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Food, Coffee & Tea",
2,RkI3Poei2kGVyhy21N0quA,Brûlée Catering,1406 S Front St,Philadelphia,PA,19147,39.9299319,-75.1465054,5.0,7,1,{'BusinessAcceptsCreditCards': 'True'},"Event Planning & Services, Caterers, Food, Venues & Event Spaces","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}"
3,Vq77GKtHp2nMsiKbjumgvA,Tony Express,3334 N Broad St,Philadelphia,PA,19140,40.004478,-75.152804,5.0,8,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessAcceptsBitcoin': 'False', 'BikeParking': 'True', 'Caters': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", 'Alcohol': ""u'none'""}","Food, Food Trucks, Mediterranean, Sandwiches, Restaurants, Burgers, Falafel","{'Monday': '8:0-18:45', 'Tuesday': '8:0-18:45', 'Wednesday': '8:0-18:45', 'Thursday': '8:0-18:45', 'Friday': '8:0-19:0', 'Saturday': '11:0-18:0'}"
4,wAUkOyvAoyE6F7zuQ3g_UA,Flow State CoffeeBar,2413 Frankford Ave,Philadelphia,PA,19125,39.981907,-75.127012,5.0,25,0,"{'WiFi': ""u'free'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}""}","Gelato, Restaurants, Cafes, Food, Coffee & Tea","{'Friday': '10:0-13:0', 'Saturday': '10:0-13:0', 'Sunday': '10:0-13:0'}"
5,RVLF2RaStLkJiQCqBHknDw,Mom Mom's Kitchen and Polish Food Cart,1505 South St,Philadelphia,PA,19146,39.9439859,-75.167449,5.0,91,1,"{'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'True', 'GoodForKids': 'True', 'HasTV': 'False', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'quiet'"", 'Alcohol': ""u'none'"", 'BikeParking': 'True', 'RestaurantsTableService': 'True', 'OutdoorSeating': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'WheelchairAccessible': 'True'}","Food, Polish, Food Trucks, Street Vendors, Restaurants","{'Monday': '0:0-0:0', 'Wednesday': '11:0-18:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-22:0', 'Saturday': '11:0-22:0'}"
6,dVKHPRNhgpclJ-E2CoZiXA,Stuff'd Buns,,Philadelphia,PA,19143,39.9412882,-75.2187346,5.0,13,1,"{'BikeParking': 'False', 'Alcohol': ""u'none'"", 'WheelchairAccessible': 'False', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'WiFi': ""u'no'""}","Food, Event Planning & Services, Caterers, Food Trucks","{'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-18:0'}"
7,7T1VAYHIS3cgsDj3iS6JWQ,The Frosted Fox Cake Shop,6511 Germantown Ave,Philadelphia,PA,19119,40.0487762,-75.1834594,5.0,104,1,"{'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'Caters': 'False', 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'False'}","Bakeries, Food","{'Monday': '0:0-0:0', 'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-15:0', 'Saturday': '10:0-17:0'}"
8,mmBwAe9q062vKWanRfoagQ,Free Tours By Foot,"20 N 3rd St, Ste 201",Philadelphia,PA,19106,39.9509398664,-75.1458675238,5.0,184,1,,"Hotels & Travel, Walking Tours, Tours, Food Tours","{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}"
9,0eJ6GTYQerMPEndBIQmXAQ,Full & Happy,N 15th St Fairmount Ave & Spring Garden St,Philadelphia,PA,19130,39.967102,-75.162135,5.0,8,1,{'BusinessAcceptsCreditCards': 'True'},"Specialty Schools, Event Planning & Services, Do-It-Yourself Food, Cooking Classes, Cooking Schools, Shopping, Personal Chefs, Professional Services, Food, Arts & Crafts, Education",
10,qjGS_7iaQDpbVhS6W8qkHQ,The Sweet Life Bakeshop,740 South St,Philadelphia,PA,19147,39.942203,-75.155223,5.0,316,1,"{'BusinessAcceptsBitcoin': 'False', 'NoiseLevel': ""u'quiet'"", 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'DriveThru': 'False', 'BikeParking': 'True', 'Caters': 'True', 'GoodForKids': 'True', 'DogsAllowed': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'None'}","Food, Cupcakes, Desserts, Bakeries","{'Monday': '0:0-0:0', 'Tuesday': '11:0-18:30', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '12:0-17:0', 'Sunday': '11:0-18:30'}"
11,RYLGohzuMvtADK19ZfbBBg,Capriotti Bros,7132 Frankford Ave,Philadelphia,PA,19135,40.0354067,-75.0439681,5.0,12,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True'}","Fruits & Veggies, Food, Specialty Food","{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '8:0-18:0'}"
12,yjcpRvhOtqgu7ykZiL4xFQ,Nuts Vs Fruit,2110 S Broad St,Philadelphia,PA,19145,39.924072,-75.170111,5.0,12,0,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","Specialty Food, Candy Stores, Food","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-18:0'}"
