business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
-zsr3CEpjUKWvRNl9c7ecw,Beyond the Bell Tours,,Philadelphia,PA,19106,39.9493801,-75.145782,5.0,6,1,"{'WiFi': ""u'no'""}","Hotels & Travel, Historical Tours, Walking Tours, Tours","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}"
MhyQpGPcR1Nnv5U4EXpr3w,Founding Footsteps,302 Arch St,Philadelphia,PA,19106,39.9520345,-75.1454345,5.0,41,1,,"Hotels & Travel, Tours, Historical Tours, Bus Tours","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}"
wJxy5gsCOIHoIH20yV80ng,The Musical History Tours,6TH St And Market St,Philadelphia,PA,19106,39.9507334382,-75.1501874998,5.0,5,1,"{'WiFi': ""u'no'""}","Tours, Historical Tours, Hotels & Travel, Bus Tours","{'Monday': '14:0-17:0', 'Tuesday': '14:0-17:0', 'Wednesday': '14:0-17:0', 'Thursday': '14:0-17:0', 'Friday': '14:0-17:0', 'Saturday': '14:0-17:0', 'Sunday': '14:0-17:0'}"
iiZHyvPUN4rPpVA70Mt8hg,Independence After Hours,600 Chestnut St,Philadelphia,PA,19106,39.9491008173,-75.1491766423,4.5,6,1,,"Tours, Dinner Theater, Historical Tours, Hotels & Travel, Walking Tours, Restaurants","{'Friday': '17:30-20:0', 'Saturday': '17:30-20:0'}"
zfGDoYNklqZeaS2nYZpmOw,Philly Foodies Tours,,Philadelphia,PA,19125,39.9793657,-75.1253492,4.5,6,0,"{'ByAppointmentOnly': 'True', 'WiFi': ""u'no'""}","Tours, Walking Tours, Food Tours, Historical Tours, Hotels & Travel","{'Monday': '0:0-0:0', 'Thursday': '16:0-18:0', 'Friday': '12:30-15:0', 'Saturday': '15:30-17:30', 'Sunday': '12:30-15:0'}"
2vAYStPvqIdrsM7ZE9X-1Q,Bow Tie Tours,6TH And Market St,Philadelphia,PA,19103,39.9506155049,-75.1503472803,4.5,17,1,"{'WiFi': ""u'free'""}","Historical Tours, Hotels & Travel, Tours","{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-22:0'}"
Q2PsfIw2sPKNlkR-0sQBpw,The Betsy Ross House,239 Arch St,Philadelphia,PA,19106,39.9522798,-75.1446095,4.0,131,1,,"Landmarks & Historical Buildings, Public Services & Government, Historical Tours, Tours, Hotels & Travel","{'Monday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-17:0'}"
ZCxi49hVqS3zVUkRLoEwdA,Grim Philly Twilight Tours,Market and N 6th St,Philadelphia,PA,19106,39.9509039,-75.1501212,4.0,245,1,,"Arts & Entertainment, Haunted Houses, Walking Tours, Hotels & Travel, Tours, Historical Tours","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
sBtVDqQEll-83ywL6yml9g,Big Red Pedal Tours,218 Market St,Philadelphia,PA,19106,39.9497522,-75.1444806,4.0,92,1,"{'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'Alcohol': ""u'none'""}","Tours, Pubs, Hotels & Travel, Bike tours, Bars, Historical Tours, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '9:0-22:0', 'Wednesday': '9:0-22:0', 'Thursday': '9:0-22:0', 'Friday': '9:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '9:0-22:0'}"
eBz80AQbtpXqDPe1fIelMg,Eastern State Penitentiary Halloween Nights,2027 Fairmount Ave,Philadelphia,PA,19130,39.9683684,-75.1726552,2.0,15,1,,"Arts & Entertainment, Tours, Haunted Houses, Hotels & Travel, Historical Tours","{'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-17:0'}"
