business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
bc03758WAxjyQ02v5JvM6g,St John the Evangelist Church,21 S 13th St,Philadelphia,PA,19107,39.9511969,-75.1613725,5.0,11,1,,"Churches, Religious Organizations, Public Services & Government, Landmarks & Historical Buildings",
ZCDMf4j6U4VxnNgPzJdeFA,The Wanamaker Eagle,1300 Market St,Philadelphia,PA,19107,39.9514445941,-75.1621564708,5.0,6,1,,"Public Services & Government, Landmarks & Historical Buildings",
95zCLYe9zas0wJpBHZfpcA,Wagner Free Institute of Science,1700 W Montgomery Ave,Philadelphia,PA,19121,39.980651,-75.16287,5.0,20,1,{'GoodForKids': 'True'},"Education, Museums, Arts & Entertainment, Public Services & Government, Landmarks & Historical Buildings, Local Flavor","{'Monday': '0:0-0:0', 'Tuesday': '9:30-16:30', 'Wednesday': '9:30-16:30', 'Thursday': '9:30-16:30', 'Friday': '9:30-16:30'}"
dmgYOp1VkNfzy8OhkrgZQQ,Mother Bethel African Methodist Episcopal Church,419 S 6th St,Philadelphia,PA,19147,39.9432889,-75.1517562,5.0,6,1,,"Public Services & Government, Landmarks & Historical Buildings",
6RUY3l7pQKk1HhM3uwGQSA,Philadelphia Chinatown,,Philadelphia,PA,19107,39.9559288,-75.1574567,4.5,8,1,,"Public Services & Government, Landmarks & Historical Buildings",
eW-x-E1rmHeDxgymj2j2Kw,Boathouse Row,1 Boathouse Row,Philadelphia,PA,19130,39.9695828,-75.1876317,4.5,10,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Landmarks & Historical Buildings, Active Life, Boating, Public Services & Government",
LUXRw-mr9emGL2gw4otvVA,Benjamin Franklin Bridge,US 676,Philadelphia,PA,08102,39.9529445595,-75.1343607903,4.5,95,1,"{'GoodForKids': 'True', 'ByAppointmentOnly': 'False'}","Automotive, Local Flavor, Active Life, Landmarks & Historical Buildings, Public Services & Government",
n09hgXTl3gsDo1lLDvHZGQ,Fairmount Water Works,640 Waterworks Dr,Philadelphia,PA,19130,39.9660351,-75.1834918,4.5,14,1,{'GoodForKids': 'True'},"Landmarks & Historical Buildings, Arts & Entertainment, Public Services & Government, Museums",
vEyfMDd1u00EwCRGbpz36A,Carpenters' Hall,320 Chestnut St,Philadelphia,PA,19106,39.9480501031,-75.1469577849,4.5,29,1,{'BusinessAcceptsCreditCards': 'True'},"Landmarks & Historical Buildings, Public Services & Government, Event Planning & Services, Venues & Event Spaces","{'Tuesday': '10:0-16:0', 'Wednesday': '10:0-16:0', 'Thursday': '10:0-16:0', 'Friday': '10:0-16:0', 'Saturday': '10:0-16:0', 'Sunday': '10:0-16:0'}"
0k8DG6BPaVKCRfnWJZhLUA,Chinatown Friendship Gate,10th & Arch St,Philadelphia,PA,19107,39.9537097058,-75.156232,4.5,28,1,,"Public Services & Government, Landmarks & Historical Buildings",
