business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
KRhAC2scnvxlGuiiOKfzDQ,Birchtree Catering,4500 Worth St,Philadelphia,PA,19124,40.008612,-75.081733,5.0,69,1,"{'BusinessAcceptsBitcoin': 'False', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True'}","Wedding Planning, Local Flavor, Caterers, Event Planning & Services","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}"
jvCNijeK9ZOf2Vb6pGNySg,Bury The Hatchet,"1719 Washington Ave, Fl 2",Philadelphia,PA,19146,39.93883,-75.17232,5.0,153,1,"{'WheelchairAccessible': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'False', 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Local Flavor, Recreation Centers, Amateur Sports Teams, Active Life","{'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-21:0'}"
7HpTZ-O9N2SKyYsXCpxQ2A,Meredith Kleiber Photography,,Philadelphia,PA,19125,39.9793657,-75.1253492,5.0,5,1,{'BusinessAcceptsCreditCards': 'True'},"Local Flavor, Session Photography, Photographers, Event Photography, Event Planning & Services","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
bLwWM6J-VjE8B6LPiOdf8A,Philly Tour Hub,7 N. Columbus Blvd,Philadelphia,PA,19106,39.951459,-75.140206,5.0,94,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'free'""}","Hotels & Travel, Local Flavor, Walking Tours, Active Life, Scavenger Hunts, Tours","{'Monday': '9:0-17:30', 'Tuesday': '9:0-17:30', 'Wednesday': '9:0-17:30', 'Thursday': '9:0-17:30', 'Friday': '9:0-17:30', 'Saturday': '9:0-17:30', 'Sunday': '9:0-17:30'}"
uX2TOURTQP1RshDcGyiIPA,A Love Letter for You,Market St,Philadelphia,PA,19139,39.9606855,-75.2308108,5.0,27,1,{'GoodForKids': 'True'},"Art Galleries, Shopping, Arts & Entertainment, Local Flavor, Public Art",
cCaIq-cO8tXct1alFkq6hQ,Olga S Pérez,1700 Market St,Philadelphia,PA,19103,39.950165,-75.16919,5.0,6,1,"{'ByAppointmentOnly': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Supernatural Readings, Professional Services, Life Coach, Health & Medical, Local Flavor, Arts & Entertainment, Counseling & Mental Health","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0'}"
aL_0huR-I6jwcyXIub3D-w,Pollyodd,1908 E Passyunk Ave,Philadelphia,PA,19148,39.926397,-75.167749,5.0,21,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True'}","Flowers & Gifts, Gift Shops, Local Flavor, Beer, Wine & Spirits, Shopping, Food","{'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-21:0', 'Saturday': '13:0-21:0'}"
7Q07VkvcRKbxKW_NSpCXpw,Old City T Shirts and Souvenirs,233 Church St,Philadelphia,PA,19106,39.9507999,-75.1451549,5.0,74,0,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'DogsAllowed': 'True'}","Children's Clothing, Local Flavor, Screen Printing/T-Shirt Printing, Women's Clothing, Flowers & Gifts, Printing Services, Fashion, Gift Shops, Local Services, Men's Clothing, Souvenir Shops, Shopping, Discount Store","{'Thursday': '11:0-16:0', 'Friday': '11:0-16:0', 'Saturday': '11:0-16:0'}"
xnmLIzRZEzOod7LPY64elw,The Galley,2500 E Norris St.,Philadelphia,PA,19125,39.97597,-75.1261528536,5.0,8,0,"{'RestaurantsReservations': 'False', 'WheelchairAccessible': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'Smoking': ""u'outdoor'"", 'OutdoorSeating': 'False', 'HappyHour': 'True', 'Caters': 'True', 'CoatCheck': 'False', 'BYOB': 'False', 'Alcohol': ""u'full_bar'"", 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'Corkage': 'False', 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'False', 'BikeParking': 'True'}","Irish Pub, Restaurants, American (Traditional), Polish, Sports Bars, Chicken Wings, Irish, Nightlife, Bars, Local Flavor","{'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-0:0', 'Saturday': '12:0-0:0', 'Sunday': '12:0-22:0'}"
95zCLYe9zas0wJpBHZfpcA,Wagner Free Institute of Science,1700 W Montgomery Ave,Philadelphia,PA,19121,39.980651,-75.16287,5.0,20,1,{'GoodForKids': 'True'},"Education, Museums, Arts & Entertainment, Public Services & Government, Landmarks & Historical Buildings, Local Flavor","{'Monday': '0:0-0:0', 'Tuesday': '9:30-16:30', 'Wednesday': '9:30-16:30', 'Thursday': '9:30-16:30', 'Friday': '9:30-16:30'}"
