,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
0,W-sA8QCwkbkHnFJG1D5IGw,The American Swedish Historical Museum,1900 Pattison Ave,Philadelphia,PA,19145,39.9059506526,-75.1810532598,5.0,11,1,"{'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Art Galleries, Shopping, Museums, Arts & Entertainment","{'Tuesday': '10:0-16:0', 'Wednesday': '10:0-16:0', 'Thursday': '10:0-16:0', 'Friday': '10:0-16:0', 'Saturday': '12:0-16:0'}"
1,ZcR-DlAbLmM5WQkNTOi0nA,Lest We Forget Slavery Museum,5501 Germantown Ave,Philadelphia,PA,19144,39.9886324,-75.0906987,5.0,5,1,{'GoodForKids': 'True'},"Active Life, Museums, Amusement Parks, Arts & Entertainment","{'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0', 'Sunday': '12:0-17:0'}"
2,95zCLYe9zas0wJpBHZfpcA,Wagner Free Institute of Science,1700 W Montgomery Ave,Philadelphia,PA,19121,39.980651,-75.16287,5.0,20,1,{'GoodForKids': 'True'},"Education, Museums, Arts & Entertainment, Public Services & Government, Landmarks & Historical Buildings, Local Flavor","{'Monday': '0:0-0:0', 'Tuesday': '9:30-16:30', 'Wednesday': '9:30-16:30', 'Thursday': '9:30-16:30', 'Friday': '9:30-16:30'}"
3,v2GYU3ULrUY_Pfez2XVBdg,The Athenaeum of Philadelphia,219 S 6th St,Philadelphia,PA,19106,39.9468995454,-75.1511258641,5.0,8,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'WiFi': ""'free'"", 'GoodForKids': 'False'}","Books, Mags, Music & Video, Museums, Public Services & Government, Arts & Entertainment, Libraries, Shopping, Bookstores","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}"
4,s31xRRK18423dHmiey1VXQ,Simeone Foundation Automotive Museum,6825-31 Norwitch Dr,Philadelphia,PA,19153,39.9106009,-75.2264093,5.0,44,1,"{'GoodForKids': 'True', 'WiFi': ""u'free'"", 'ByAppointmentOnly': 'False', 'DogsAllowed': 'True'}","Museums, Arts & Entertainment","{'Monday': '0:0-0:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-16:0', 'Sunday': '10:0-16:0'}"
5,PkZLk4nDljDyxICCh5mB_g,SS United States,82 S Delaware Ave & Pier 70 Blvd,Philadelphia,PA,19148,39.9247029,-75.1415258,5.0,5,1,{'GoodForKids': 'True'},"Arts & Entertainment, Education, Museums",
6,n09hgXTl3gsDo1lLDvHZGQ,Fairmount Water Works,640 Waterworks Dr,Philadelphia,PA,19130,39.9660351,-75.1834918,4.5,14,1,{'GoodForKids': 'True'},"Landmarks & Historical Buildings, Arts & Entertainment, Public Services & Government, Museums",
7,HlzbNeFmy-EyZUBth5iNWQ,The Center For Art In Wood,141 N 3rd St,Philadelphia,PA,19106,39.95339409,-75.14478933,4.5,10,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'DogsAllowed': 'False', 'RestaurantsPriceRange2': '3', 'WheelchairAccessible': 'True', 'GoodForKids': 'True'}","Arts & Entertainment, Art Galleries, Shopping, Jewelry, Art Museums, Museums","{'Thursday': '12:0-17:0', 'Friday': '12:0-17:0', 'Saturday': '12:0-17:0'}"
8,MIn4G1dI0iJaDw3U3uKofg,Carre d'artistes Art Gallery Philadelphia,104 S 13th St,Philadelphia,PA,19107,39.9501114,-75.1620853,4.5,19,0,"{'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'GoodForKids': 'True', 'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WheelchairAccessible': 'True'}","Museums, Framing, Art Galleries, Shopping, Professional Services, Arts & Entertainment, Arts & Crafts",
9,PHsL2RRxr6d1fyVvCzz06g,Neon Museum of Philadelphia,"1800 N American St, Unit E",Philadelphia,PA,19122,39.978546,-75.1396602,4.5,6,1,"{'ByAppointmentOnly': 'False', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False'}","Museums, Arts & Entertainment, Art Galleries, Venues & Event Spaces, Event Planning & Services, Shopping","{'Friday': '16:0-20:0', 'Saturday': '12:0-17:0', 'Sunday': '12:0-17:0'}"
