business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
EjuhuChTEGX1eT0t-8OUfg,James G. Kaskey Memorial Park,,Philadelphia,PA,19104,39.9583587,-75.1953934,5.0,11,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'BikeParking': 'True'}","Botanical Gardens, Arts & Entertainment, Parks, Active Life","{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}"
FtzKdwb27s0Cd9ASC5Uo3w,Schuylkill Center For Environmental Education,8480 Hagys Mill Rd,Philadelphia,PA,19128,40.05579,-75.252292,5.0,13,1,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': 'None', 'DogsAllowed': 'False', 'WheelchairAccessible': 'True'}","Event Planning & Services, Special Education, Local Services, Preschools, Community Service/Non-Profit, Hiking, Active Life, Venues & Event Spaces, Summer Camps, Parks, Educational Services, Specialty Schools, Education","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0'}"
vUrTGX_7HxqeoQ_6QCVz6g,Suraya,1528 Frankford Ave,Philadelphia,PA,19125,39.9736865005,-75.1339557767,4.5,1121,1,"{'RestaurantsTableService': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'HasTV': 'False', 'NoiseLevel': ""'average'"", 'WiFi': ""u'free'"", 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': True}"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'full_bar'"", 'Smoking': ""u'outdoor'"", 'ByAppointmentOnly': 'False', 'RestaurantsReservations': 'True', 'HappyHour': 'False', 'Corkage': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'None', 'BYOB': 'False', 'OutdoorSeating': 'None', 'RestaurantsAttire': ""'casual'"", 'Caters': 'False', 'DogsAllowed': 'False', 'RestaurantsPriceRange2': '3', 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': True, 'divey': False, 'intimate': True, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsDelivery': 'None'}","Active Life, Beer Gardens, Grocery, Middle Eastern, Specialty Food, American (New), Parks, Cafes, Food, Nightlife, Restaurants, Coffee & Tea, Lebanese","{'Monday': '17:0-21:30', 'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:30', 'Saturday': '17:0-22:30', 'Sunday': '17:0-21:30'}"
YAYIiWShAU4R9z-xNUqVig,Logan Circle,200 N 19th St,Philadelphia,PA,19103,39.9585853,-75.1706228,4.5,36,1,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Active Life, Local Flavor, Parks",
uUYr4mxdptgy8faIxB-8Ew,Cedar Park,50th St & Baltimore Ave,Philadelphia,PA,19143,39.9482189152,-75.2226483822,4.5,8,1,"{'GoodForKids': 'True', 'BikeParking': 'True'}","Active Life, Parks",
uwF2zLAnZZ1SCwEF8QQKQA,Wissahickon Valley Trail,Valley Green Rd At Wissahickon,Philadelphia,PA,19128,40.0855907865,-75.2297830582,4.5,137,1,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'DogsAllowed': 'True'}","Hiking, Parks, Active Life",
ajF4K4G-gJtNVy0P2paJpA,Wissahickon Park,Lincoln Dr & Rittenhouse Ln,Philadelphia,PA,19144,40.0293766,-75.1889039,4.5,49,1,"{'BikeParking': 'True', 'GoodForKids': 'True', 'DogsAllowed': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Active Life, Parks, Public Services & Government, Landmarks & Historical Buildings",
jbIHN6TuseNIqhzzv67aLw,Glendinning Rock Garden,Brewery Hill Dr,Philadelphia,PA,19121,39.9761271,-75.1910898,4.5,8,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Parks, Active Life",
Bawf-t1gcb4TAxS4NRSqhg,Penn Treaty Park,1199 N Delaware Ave,Philadelphia,PA,19125,39.9661152871,-75.1282826402,4.5,50,1,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True'}","Parks, Lakes, Active Life, Local Flavor",
DGowEJK6gOUUIyv0GgNR6w,Fitler Square Park,Pine St,Philadelphia,PA,19103,39.947639,-75.180066,4.5,20,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Active Life, Parks",
0bClMPygqjmGYspg--VyIA,Weccacoe Playground,400 Catharine St,Philadelphia,PA,19147,39.9379296,-75.1507073,4.5,6,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Playgrounds, Tennis, Parks, Active Life",
