business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
mmBwAe9q062vKWanRfoagQ,Free Tours By Foot,"20 N 3rd St, Ste 201",Philadelphia,PA,19106,39.9509398664,-75.1458675238,5.0,184,1,,"Hotels & Travel, Walking Tours, Tours, Food Tours","{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}"
bLwWM6J-VjE8B6LPiOdf8A,Philly Tour Hub,7 N. Columbus Blvd,Philadelphia,PA,19106,39.951459,-75.140206,5.0,94,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'free'""}","Hotels & Travel, Local Flavor, Walking Tours, Active Life, Scavenger Hunts, Tours","{'Monday': '9:0-17:30', 'Tuesday': '9:0-17:30', 'Wednesday': '9:0-17:30', 'Thursday': '9:0-17:30', 'Friday': '9:0-17:30', 'Saturday': '9:0-17:30', 'Sunday': '9:0-17:30'}"
2yLeUev-KhtxTPOEmTLaYQ,"The Yo, Philly! Rocky Film Tour LLC",,Philadelphia,PA,19102,39.9556241,-75.1647529,5.0,5,1,,"Hotels & Travel, Bus Tours, Tours","{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '8:0-18:0', 'Sunday': '8:0-18:0'}"
-zsr3CEpjUKWvRNl9c7ecw,Beyond the Bell Tours,,Philadelphia,PA,19106,39.9493801,-75.145782,5.0,6,1,"{'WiFi': ""u'no'""}","Hotels & Travel, Historical Tours, Walking Tours, Tours","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}"
MhyQpGPcR1Nnv5U4EXpr3w,Founding Footsteps,302 Arch St,Philadelphia,PA,19106,39.9520345,-75.1454345,5.0,41,1,,"Hotels & Travel, Tours, Historical Tours, Bus Tours","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}"
mPofJfeG_2GtKdHONWzKag,Photography Tours of Philadelphia,226 W Rittenhouse Sq,Philadelphia,PA,19103,39.9490487,-75.1736448,5.0,10,1,"{'WiFi': ""u'no'""}","Arts & Entertainment, Travel Services, Hotels & Travel, Tours","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}"
wJxy5gsCOIHoIH20yV80ng,The Musical History Tours,6TH St And Market St,Philadelphia,PA,19106,39.9507334382,-75.1501874998,5.0,5,1,"{'WiFi': ""u'no'""}","Tours, Historical Tours, Hotels & Travel, Bus Tours","{'Monday': '14:0-17:0', 'Tuesday': '14:0-17:0', 'Wednesday': '14:0-17:0', 'Thursday': '14:0-17:0', 'Friday': '14:0-17:0', 'Saturday': '14:0-17:0', 'Sunday': '14:0-17:0'}"
38nh08XWZYTHo7tb02Pdkw,Philly Official Guide,229 Arch St,Philadelphia,PA,19146,39.9367535,-75.1647938,5.0,5,1,{'GoodForKids': 'True'},"Arts & Entertainment, Tours, Hotels & Travel",{'Saturday': '10:0-12:0'}
GqFDqjsoyLGlxMJAWHjFmg,DeTours Touring,22 N 3rd St,Philadelphia,PA,19106,39.9509192,-75.1458608,5.0,15,0,,"Hotels & Travel, Tours","{'Monday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
hOd0z-9Yj0RWjWkk2Xd-2w,Sky River Helicopters,11301 Norcom Rd,Philadelphia,PA,19152,40.0905021115,-75.0074930191,5.0,6,1,,"Hotels & Travel, Real Estate Photography, Active Life, Aerial Tours, Education, Real Estate Services, Home Services, Transportation, Specialty Schools, Real Estate, Airlines, Tours, Flight Instruction, Amusement Parks","{'Monday': '6:0-23:0', 'Tuesday': '6:0-23:0', 'Wednesday': '6:0-23:0', 'Thursday': '6:0-23:0', 'Friday': '6:0-23:0', 'Saturday': '6:0-23:0', 'Sunday': '6:0-23:0'}"
nA6zjguOkl4bYNv3deSbUA,Museum Hack,,Philadelphia,PA,19130,39.9682609,-75.1749671,5.0,5,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsBitcoin': 'True'}","Tours, Event Planning & Services, Team Building Activities, Active Life, Hotels & Travel, Scavenger Hunts","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
lh3zX7KElyS3Gc5Iqn7Cnw,City Running Tours,,Philadelphia,PA,19103,39.9531865,-75.1749671,5.0,7,1,,"Active Life, Hotels & Travel, Tours",
EHWWQjzRwSBceWSZXtc2VA,StrEATS of Philly Food Tours,"1500 Market St, Ste W-3110",Philadelphia,PA,19102,39.9523167,-75.1664857,5.0,12,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'no'"", 'BusinessAcceptsBitcoin': 'False'}","Tours, Event Planning & Services, Farmers Market, Hotels & Travel, Food, Personal Chefs, Food Tours, Walking Tours","{'Monday': '10:0-18:30', 'Tuesday': '10:0-18:30', 'Wednesday': '10:0-18:30', 'Thursday': '10:0-18:30', 'Friday': '10:0-18:30', 'Saturday': '10:0-18:30', 'Sunday': '10:0-18:30'}"
zCmdpK9TYREr3sO1QO6BCw,Philly Brew Tours by City Brew Tours,1277 Filbert St,Philadelphia,PA,19107,39.9530598,-75.1606397,5.0,68,1,"{'RestaurantsTakeOut': 'False', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'Caters': 'False', 'WheelchairAccessible': 'False', 'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True'}","Event Planning & Services, Tours, Beer Tours, Breweries, Team Building Activities, Food Tours, Food, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
H3T-c6Mx1L7NnyOwva-irQ,Philly Bike Tour,2015 Fairmount Ave,Philadelphia,PA,19130,39.967468,-75.17083,5.0,18,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True'}","Hotels & Travel, Active Life, Bike tours, Bike Rentals, Tours","{'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-20:0', 'Sunday': '9:0-20:0'}"
-aeZuatjCDMV1X4gCTz9Ug,David Thomas Trailways,14005 McNulty Rd,Philadelphia,PA,19154,40.1064092,-74.9739371,4.5,6,1,"{'WiFi': ""u'free'""}","Buses, Transportation, Bus Tours, Hotels & Travel, Travel Agents, Travel Services, Airport Shuttles, Tours, Public Transportation","{'Monday': '8:30-17:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:30-17:0', 'Friday': '8:30-17:0'}"
rh3C_JK4NAoUJ-HNStvHtw,"Historic Philadelphia, Inc","600 Walnut St, Ste 130",Philadelphia,PA,19106,39.948321,-75.151952,4.5,5,1,,"Hotels & Travel, Tours",
cqIYskWPVQ0rz1XSG0ohxg,City Food Tours,,Philadelphia,PA,19102,39.9556241,-75.1647529,4.5,48,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'""}","Hotels & Travel, Specialty Food, Food, Food Tours, Tours","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
iiZHyvPUN4rPpVA70Mt8hg,Independence After Hours,600 Chestnut St,Philadelphia,PA,19106,39.9491008173,-75.1491766423,4.5,6,1,,"Tours, Dinner Theater, Historical Tours, Hotels & Travel, Walking Tours, Restaurants","{'Friday': '17:30-20:0', 'Saturday': '17:30-20:0'}"
eqoyosqDGli6zLY2TRR7ng,Hidden River Outfitters,4100 Main St,Philadelphia,PA,19128,40.0222502,-75.218689,4.5,6,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Tours, Active Life, Rafting/Kayaking, Hotels & Travel, Paddleboarding","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}"
zfGDoYNklqZeaS2nYZpmOw,Philly Foodies Tours,,Philadelphia,PA,19125,39.9793657,-75.1253492,4.5,6,0,"{'ByAppointmentOnly': 'True', 'WiFi': ""u'no'""}","Tours, Walking Tours, Food Tours, Historical Tours, Hotels & Travel","{'Monday': '0:0-0:0', 'Thursday': '16:0-18:0', 'Friday': '12:30-15:0', 'Saturday': '15:30-17:30', 'Sunday': '12:30-15:0'}"
yH1AyWc8uPmmsZOD3JlWqg,Patriot Harbor Lines,211 S Columbus Blvd,Philadelphia,PA,19106,39.9457958,-75.1405828,4.5,20,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True'}","Tours, Active Life, Boating, Hotels & Travel","{'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '9:0-23:30', 'Sunday': '9:0-23:0'}"
AGR4G6RCCjzmtVk0xjLTrg,76 Carriage Company,1350 Schuylkill Ave,Philadelphia,PA,19146,39.9375741,-75.2037673,4.5,20,1,{'BusinessAcceptsCreditCards': 'True'},"Tours, Hotels & Travel, Party Bus Rentals, Wedding Planning, Public Transportation, Transportation, Event Planning & Services, Local Flavor",
Hr16lbtrtvZhFr9vvkLW1g,Mural Arts Philadelphia,128 N Broad St,Philadelphia,PA,19102,39.9653670987,-75.1669141221,4.5,30,1,"{'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Hotels & Travel, Tours, Art Galleries, Shopping, Arts & Entertainment","{'Monday': '10:0-16:0', 'Tuesday': '10:0-16:0', 'Wednesday': '10:0-16:0', 'Thursday': '10:0-16:0', 'Friday': '10:0-16:0', 'Saturday': '9:0-16:0', 'Sunday': '9:0-16:0'}"
3woevNT4gDDZWTFf94qlCg,Elfreth's Alley,126 Elfreths Aly,Philadelphia,PA,19106,39.9527511597,-75.1424942017,4.5,61,1,,"Landmarks & Historical Buildings, Tours, Public Services & Government, Hotels & Travel","{'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0', 'Sunday': '12:0-17:0'}"
2BWgMVUaFacZ9oueEixAGg,Chew Philly Food Tours,4212 Main St,Philadelphia,PA,19127,40.023867,-75.22083,4.5,78,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Food, Tours, Food Tours, Hotels & Travel, Walking Tours","{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-18:0', 'Sunday': '9:0-18:0'}"
MtEpw40QBJYMkDTbBBv5Ag,Schuylkill Banks,"2501 Walnut St, Ste 206",Philadelphia,PA,19103,39.9521288,-75.1807123,4.5,51,1,"{'GoodForKids': 'True', 'DogsAllowed': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Boating, Parks, Active Life, Hotels & Travel, Tours",
2vAYStPvqIdrsM7ZE9X-1Q,Bow Tie Tours,6TH And Market St,Philadelphia,PA,19103,39.9506155049,-75.1503472803,4.5,17,1,"{'WiFi': ""u'free'""}","Historical Tours, Hotels & Travel, Tours","{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-22:0'}"
4V6BpKsB68F9W8MQSfe1Zg,Lincoln Financial Field Tours,One Lincoln Financial Field Way,Philadelphia,PA,19148,39.900998,-75.167496,4.5,11,1,{'GoodForKids': 'True'},"Professional Sports Teams, Stadiums & Arenas, Hotels & Travel, Tours, Arts & Entertainment","{'Monday': '10:0-17:0', 'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0'}"
VkMokNW-HLye5jc8_1l_vA,Greensgrow Farms,2501 E Cumberland St,Philadelphia,PA,19125,39.9781699,-75.1208563,4.5,80,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsBitcoin': 'False', 'RestaurantsDelivery': 'True', 'Caters': 'False', 'BikeParking': 'True', 'RestaurantsTakeOut': 'False', 'HappyHour': 'False', 'DogsAllowed': 'True'}","Hotels & Travel, Food, Venues & Event Spaces, Home & Garden, Nurseries & Gardening, Tours, CSA, Event Planning & Services, Shopping, Christmas Trees, Community Service/Non-Profit, Local Services, Farmers Market","{'Monday': '0:0-0:0', 'Thursday': '12:0-18:0', 'Friday': '10:0-16:0', 'Saturday': '10:0-16:0', 'Sunday': '10:0-16:0'}"
hSziErXSdjiWYEGDo4ywyA,I Glide,2600 Benjamin Franklin Pkwy,Philadelphia,PA,19130,39.9647337,-75.179406,4.5,7,0,,"Arts & Entertainment, Hotels & Travel, Tours, Local Flavor",
uL4b3AVzlHJtsZChujNEMg,Philadelphia Urban Adventures,229 Arch St,Philadelphia,PA,19106,39.952091,-75.1401399646,4.5,42,1,,"Hotels & Travel, Tours","{'Monday': '8:30-18:0', 'Tuesday': '8:30-18:0', 'Wednesday': '8:30-18:0', 'Thursday': '8:30-18:0', 'Friday': '8:30-18:0', 'Saturday': '8:30-18:0', 'Sunday': '8:30-18:0'}"
Q2PsfIw2sPKNlkR-0sQBpw,The Betsy Ross House,239 Arch St,Philadelphia,PA,19106,39.9522798,-75.1446095,4.0,131,1,,"Landmarks & Historical Buildings, Public Services & Government, Historical Tours, Tours, Hotels & Travel","{'Monday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-17:0'}"
